Channel,Energy (keV),Counts
1,3.408285,0
2,3.8119,0
3,4.215515,0
4,4.61913,0
5,5.022745,0
6,5.42636,0
7,5.829975,0
8,6.23359,0
9,6.637205,0
10,7.04082,0
11,7.444435,0
12,7.84805,0
13,8.251665,0
14,8.65528,0
15,9.058895,0
16,9.46251,0
17,9.866125,0
18,10.26974,0
19,10.673355,0
20,11.07697,0
21,11.480585,0
22,11.8842,0
23,12.287815,0
24,12.69143,0
25,13.095045,0
26,13.49866,0
27,13.902275,0
28,14.30589,0
29,14.709505,0
30,15.11312,0
31,15.516735,0
32,15.92035,0
33,16.323965,0
34,16.72758,0
35,17.131195,0
36,17.53481,0
37,17.938425,0
38,18.34204,0
39,18.745655,0
40,19.14927,0
41,19.552885,0
42,19.9565,0
43,20.360115,0
44,20.76373,0
45,21.167345,0
46,21.57096,0
47,21.974575,0
48,22.37819,0
49,22.781805,0
50,23.18542,0
51,23.589035,0
52,23.99265,0
53,24.396265,0
54,24.79988,0
55,25.203495,0
56,25.60711,6
57,26.010725,216
58,26.41434,2614
59,26.817955,5141
60,27.22157,1165
61,27.625185,25
62,28.0288,42
63,28.432415,75
64,28.83603,130
65,29.239645,211
66,29.64326,301
67,30.046875,351
68,30.45049,424
69,30.854105,472
70,31.25772,546
71,31.661335,596
72,32.06495,628
73,32.468565,735
74,32.87218,740
75,33.275795,648
76,33.67941,687
77,34.083025,573
78,34.48664,563
79,34.890255,510
80,35.29387,542
81,35.697485,469
82,36.1011,502
83,36.504715,483
84,36.90833,456
85,37.311945,479
86,37.71556,488
87,38.119175,531
88,38.52279,499
89,38.926405,509
90,39.33002,532
91,39.733635,495
92,40.13725,545
93,40.540865,487
94,40.94448,507
95,41.348095,526
96,41.75171,491
97,42.155325,528
98,42.55894,517
99,42.962555,481
100,43.36617,480
101,43.769785,536
102,44.1734,449
103,44.577015,450
104,44.98063,477
105,45.384245,485
106,45.78786,496
107,46.191475,471
108,46.59509,486
109,46.998705,461
110,47.40232,532
111,47.805935,532
112,48.20955,455
113,48.613165,445
114,49.01678,443
115,49.420395,466
116,49.82401,507
117,50.227625,508
118,50.63124,446
119,51.034855,434
120,51.43847,478
121,51.842085,476
122,52.2457,475
123,52.649315,458
124,53.05293,483
125,53.456545,478
126,53.86016,449
127,54.263775,508
128,54.66739,464
129,55.071005,481
130,55.47462,464
131,55.878235,456
132,56.28185,485
133,56.685465,507
134,57.08908,416
135,57.492695,456
136,57.89631,485
137,58.299925,491
138,58.70354,514
139,59.107155,461
140,59.51077,463
141,59.914385,469
142,60.318,479
143,60.721615,494
144,61.12523,474
145,61.528845,526
146,61.93246,537
147,62.336075,513
148,62.73969,516
149,63.143305,513
150,63.54692,489
151,63.950535,553
152,64.35415,541
153,64.757765,544
154,65.16138,565
155,65.564995,507
156,65.96861,550
157,66.372225,498
158,66.77584,524
159,67.179455,527
160,67.58307,525
161,67.986685,563
162,68.3903,545
163,68.793915,588
164,69.19753,567
165,69.601145,557
166,70.00476,575
167,70.408375,583
168,70.81199,602
169,71.215605,578
170,71.61922,580
171,72.022835,617
172,72.42645,646
173,72.830065,599
174,73.23368,624
175,73.637295,653
176,74.04091,609
177,74.444525,629
178,74.84814,648
179,75.251755,639
180,75.65537,661
181,76.058985,692
182,76.4626,659
183,76.866215,703
184,77.26983,698
185,77.673445,762
186,78.07706,715
187,78.480675,712
188,78.88429,664
189,79.287905,656
190,79.69152,659
191,80.095135,641
192,80.49875,640
193,80.902365,619
194,81.30598,692
195,81.709595,747
196,82.11321,670
197,82.516825,697
198,82.92044,641
199,83.324055,701
200,83.72767,703
201,84.131285,710
202,84.5349,682
203,84.938515,673
204,85.34213,672
205,85.745745,698
206,86.14936,725
207,86.552975,751
208,86.95659,715
209,87.360205,760
210,87.76382,755
211,88.167435,803
212,88.57105,734
213,88.974665,758
214,89.37828,735
215,89.781895,713
216,90.18551,748
217,90.589125,705
218,90.99274,758
219,91.396355,736
220,91.79997,786
221,92.203585,748
222,92.6072,768
223,93.010815,727
224,93.41443,727
225,93.818045,750
226,94.22166,783
227,94.625275,765
228,95.02889,797
229,95.432505,781
230,95.83612,792
231,96.239735,802
232,96.64335,746
233,97.046965,749
234,97.45058,754
235,97.854195,819
236,98.25781,809
237,98.661425,770
238,99.06504,820
239,99.468655,759
240,99.87227,776
241,100.275885,768
242,100.6795,771
243,101.083115,780
244,101.48673,842
245,101.890345,775
246,102.29396,766
247,102.697575,813
248,103.10119,805
249,103.504805,808
250,103.90842,833
251,104.312035,846
252,104.71565,840
253,105.119265,860
254,105.52288,812
255,105.926495,832
256,106.33011,832
257,106.733725,812
258,107.13734,771
259,107.540955,867
260,107.94457,797
261,108.348185,799
262,108.7518,837
263,109.155415,807
264,109.55903,853
265,109.962645,847
266,110.36626,798
267,110.769875,821
268,111.17349,849
269,111.577105,820
270,111.98072,800
271,112.384335,829
272,112.78795,836
273,113.191565,830
274,113.59518,832
275,113.998795,791
276,114.40241,809
277,114.806025,875
278,115.20964,841
279,115.613255,854
280,116.01687,808
281,116.420485,807
282,116.8241,858
283,117.227715,790
284,117.63133,858
285,118.034945,833
286,118.43856,887
287,118.842175,839
288,119.24579,772
289,119.649405,824
290,120.05302,794
291,120.456635,808
292,120.86025,817
293,121.263865,845
294,121.66748,818
295,122.071095,822
296,122.47471,753
297,122.878325,779
298,123.28194,768
299,123.685555,823
300,124.08917,759
301,124.492785,793
302,124.8964,801
303,125.300015,787
304,125.70363,793
305,126.107245,782
306,126.51086,776
307,126.914475,802
308,127.31809,813
309,127.721705,764
310,128.12532,771
311,128.528935,767
312,128.93255,829
313,129.336165,810
314,129.73978,773
315,130.143395,753
316,130.54701,788
317,130.950625,790
318,131.35424,786
319,131.757855,748
320,132.16147,777
321,132.565085,763
322,132.9687,768
323,133.372315,810
324,133.77593,736
325,134.179545,782
326,134.58316,727
327,134.986775,727
328,135.39039,747
329,135.794005,763
330,136.19762,765
331,136.601235,741
332,137.00485,795
333,137.408465,803
334,137.81208,755
335,138.215695,734
336,138.61931,742
337,139.022925,731
338,139.42654,707
339,139.830155,734
340,140.23377,736
341,140.637385,742
342,141.041,752
343,141.444615,713
344,141.84823,692
345,142.251845,733
346,142.65546,739
347,143.059075,703
348,143.46269,709
349,143.866305,727
350,144.26992,721
351,144.673535,723
352,145.07715,704
353,145.480765,701
354,145.88438,728
355,146.287995,747
356,146.69161,725
357,147.095225,745
358,147.49884,702
359,147.902455,724
360,148.30607,718
361,148.709685,771
362,149.1133,679
363,149.516915,750
364,149.92053,670
365,150.324145,684
366,150.72776,684
367,151.131375,689
368,151.53499,698
369,151.938605,633
370,152.34222,701
371,152.745835,687
372,153.14945,712
373,153.553065,667
374,153.95668,710
375,154.360295,689
376,154.76391,686
377,155.167525,677
378,155.57114,683
379,155.974755,681
380,156.37837,693
381,156.781985,669
382,157.1856,690
383,157.589215,640
384,157.99283,683
385,158.396445,673
386,158.80006,710
387,159.203675,677
388,159.60729,661
389,160.010905,672
390,160.41452,637
391,160.818135,640
392,161.22175,664
393,161.625365,649
394,162.02898,663
395,162.432595,690
396,162.83621,676
397,163.239825,678
398,163.64344,657
399,164.047055,661
400,164.45067,650
401,164.854285,571
402,165.2579,673
403,165.661515,667
404,166.06513,657
405,166.468745,671
406,166.87236,709
407,167.275975,629
408,167.67959,650
409,168.083205,669
410,168.48682,648
411,168.890435,630
412,169.29405,661
413,169.697665,666
414,170.10128,702
415,170.504895,692
416,170.90851,665
417,171.312125,667
418,171.71574,723
419,172.119355,716
420,172.52297,671
421,172.926585,659
422,173.3302,799
423,173.733815,743
424,174.13743,738
425,174.541045,769
426,174.94466,743
427,175.348275,796
428,175.75189,762
429,176.155505,733
430,176.55912,761
431,176.962735,741
432,177.36635,719
433,177.769965,750
434,178.17358,736
435,178.577195,725
436,178.98081,759
437,179.384425,702
438,179.78804,702
439,180.191655,687
440,180.59527,759
441,180.998885,693
442,181.4025,699
443,181.806115,680
444,182.20973,713
445,182.613345,692
446,183.01696,689
447,183.420575,700
448,183.82419,700
449,184.227805,734
